Date,Open,High,Low,Close,Adj Close,Volume
2000-12-01,34.437500,35.750000,33.875000,35.750000,26.584190,11500
2000-12-04,35.875000,35.875000,34.687500,35.562500,26.444767,5600
2000-12-05,35.875000,36.000000,35.500000,35.500000,26.398304,3800
2000-12-06,35.062500,36.312500,35.000000,35.250000,26.212389,5900
2000-12-07,35.187500,37.000000,35.187500,36.937500,27.467243,9100
2000-12-08,36.375000,37.625000,35.375000,37.625000,27.978468,11300
2000-12-11,37.750000,39.937500,37.625000,37.937500,28.210857,12300
2000-12-12,37.812500,42.250000,37.812500,42.250000,31.417685,15000
2000-12-13,40.156250,42.187500,37.000000,40.750000,30.302265,23000
2000-12-14,38.750000,40.000000,36.000000,37.937500,28.210857,8400
2000-12-15,37.937500,40.250000,36.812500,39.937500,29.698074,9000
2000-12-18,39.906250,41.500000,39.500000,41.500000,30.859985,6600
2000-12-19,40.000000,43.562500,39.125000,42.375000,31.510624,8900
2000-12-20,44.000000,45.000000,41.000000,45.000000,33.462627,15300
2000-12-21,43.250000,43.250000,40.000000,42.000000,31.231770,7300
2000-12-22,40.937500,41.500000,38.812500,38.812500,28.861511,6900
2000-12-26,39.812500,40.562500,37.000000,37.250000,27.699615,7700
2000-12-27,38.000000,38.000000,36.500000,36.500000,27.141895,19200
2000-12-28,36.250000,37.359375,36.250000,36.937500,27.467243,10900
2000-12-29,36.250000,38.312500,36.250000,37.875000,28.164385,7600
2001-01-02,38.000000,38.000000,36.500000,36.750000,27.327805,3800
2001-01-03,38.062500,38.750000,36.750000,36.875000,27.420769,1900
2001-01-04,37.000000,38.750000,37.000000,37.125000,27.606674,6300
2001-01-05,38.687500,38.687500,37.500000,37.750000,28.071415,5100
2001-01-08,39.000000,39.000000,39.000000,39.000000,29.000942,800
2001-01-09,38.750000,39.000000,37.750000,37.812500,28.117889,3900
2001-01-10,39.250000,40.187500,38.812500,39.687500,29.512169,7100
2001-01-11,40.000000,41.687500,39.500000,41.687500,30.999397,3200
2001-01-12,41.250000,41.500000,40.125000,41.000000,30.488169,3600
2001-01-16,41.000000,41.625000,40.000000,41.000000,30.488169,2000
2001-01-17,45.000000,45.125000,41.562500,42.000000,31.231770,17100
2001-01-18,41.500000,43.875000,41.500000,43.875000,32.626060,13500
2001-01-19,41.968750,43.937500,40.000000,42.250000,31.417685,14000
2001-01-22,42.000000,43.000000,41.062500,41.687500,30.999397,1700
2001-01-23,40.062500,42.093750,40.062500,41.500000,30.859985,1900
2001-01-24,40.000000,42.500000,40.000000,40.500000,30.116356,7000
2001-01-25,40.625000,40.937500,40.562500,40.625000,30.209301,1700
2001-01-26,40.906250,40.937500,40.625000,40.625000,30.209301,6500
2001-01-29,40.562500,40.687500,40.562500,40.625000,30.209301,3500
2001-01-30,40.500000,40.562500,39.062500,39.125000,29.093891,9900
2001-01-31,40.000000,40.875000,39.375000,40.812500,30.348738,3400
2001-02-01,40.875000,40.875000,39.375000,39.375000,29.279793,7400
2001-02-02,40.812500,40.812500,39.625000,40.000000,29.744558,8500
2001-02-05,39.750000,39.937500,39.375000,39.750000,29.558649,9700
2001-02-06,40.250000,40.250000,39.312500,39.937500,29.698074,3700
2001-02-07,40.000000,41.000000,39.937500,40.250000,29.930452,10700
2001-02-08,39.625000,40.875000,39.500000,40.875000,30.395227,4900
2001-02-09,39.953125,40.437500,39.812500,40.437500,30.069864,2400
2001-02-12,41.125000,42.250000,41.062500,41.375000,30.767017,48200
2001-02-13,40.000000,41.937500,39.500000,40.562500,30.162853,9400
2001-02-14,40.187500,41.250000,40.187500,40.562500,30.349886,2500
2001-02-15,39.562500,40.750000,39.562500,39.750000,29.741968,1200
2001-02-16,40.000000,42.500000,40.000000,41.687500,31.191648,8700
2001-02-20,40.875000,42.000000,40.062500,41.000000,30.677246,6600
2001-02-21,39.156250,41.203125,39.125000,40.500000,30.303122,2500
2001-02-22,41.375000,41.437500,39.625000,40.000000,29.929007,3000
2001-02-23,39.625000,41.000000,39.437500,41.000000,30.677246,2600
2001-02-26,41.437500,41.437500,40.562500,40.562500,30.349886,8500
2001-02-27,41.187500,41.187500,39.375000,40.390625,30.221302,5200
2001-02-28,40.468750,40.468750,39.000000,39.000000,29.180794,11700
2001-03-01,38.875000,39.687500,38.875000,39.187500,29.321077,3000
2001-03-02,39.187500,42.000000,39.187500,42.000000,31.425467,7200
2001-03-05,41.000000,41.937500,39.000000,39.250000,29.367855,8100
2001-03-06,41.906250,41.906250,40.500000,40.500000,30.303122,3000
2001-03-07,40.281250,41.406250,39.000000,39.000000,29.180794,5500
2001-03-08,39.250000,39.500000,39.093750,39.500000,29.554918,6900
2001-03-09,40.000000,40.000000,39.562500,39.937500,29.882250,4100
2001-03-12,39.625000,39.750000,39.250000,39.250000,29.367855,2600
2001-03-13,40.000000,40.500000,38.500000,39.625000,29.648420,5800
2001-03-14,38.562500,39.437500,38.500000,39.000000,29.180794,2700
2001-03-15,40.750000,41.250000,39.625000,41.250000,30.864290,8200
2001-03-16,41.250000,41.625000,37.687500,38.062500,28.479343,9500
2001-03-19,40.000000,40.000000,38.562500,39.375000,29.461390,7500
2001-03-20,40.000000,40.437500,39.875000,40.000000,29.929007,3000
2001-03-21,40.375000,40.375000,39.000000,39.000000,29.180794,3800
2001-03-22,39.000000,39.984375,38.375000,39.187500,29.321077,4400
2001-03-23,39.500000,39.687500,39.000000,39.687500,29.695194,4600
2001-03-26,39.750000,40.250000,38.687500,38.687500,28.946968,2100
2001-03-27,39.500000,40.250000,39.281250,39.812500,29.788727,6600
2001-03-28,40.250000,40.250000,38.250000,39.250000,29.367855,5700
2001-03-29,40.000000,40.000000,38.750000,39.312500,29.414610,14300
2001-03-30,38.000000,40.437500,38.000000,40.437500,30.256346,12000
2001-04-02,38.937500,39.937500,38.937500,39.937500,29.882250,2800
2001-04-03,39.000000,39.562500,38.875000,38.875000,29.087267,800
2001-04-04,38.093750,39.875000,38.062500,38.625000,28.900213,2100
2001-04-05,40.000000,40.000000,38.500000,38.953125,29.145710,500
2001-04-06,38.562500,39.625000,38.500000,39.187500,29.321077,2200
2001-04-09,39.490002,39.490002,38.639999,38.900002,29.105967,6100
2001-04-10,39.410000,40.000000,39.410000,39.750000,29.741968,3800
2001-04-11,40.049999,40.049999,39.330002,39.330002,29.427715,8600
2001-04-12,39.700001,39.700001,39.500000,39.500000,29.554918,1900
2001-04-16,39.180000,40.000000,39.180000,39.320000,29.420221,3800
2001-04-17,39.180000,39.970001,39.180000,39.950001,29.891603,900
2001-04-18,39.320000,39.320000,38.950001,39.000000,29.180794,8500
2001-04-19,39.930000,40.189999,39.450001,40.000000,29.929007,12900
2001-04-20,39.500000,40.000000,39.500000,40.000000,29.929007,1300
2001-04-23,40.000000,40.000000,39.529999,40.000000,29.929007,7300
2001-04-24,40.000000,40.000000,40.000000,40.000000,29.929007,100
2001-04-25,39.509998,39.880001,39.509998,39.880001,29.839237,3700
2001-04-26,39.779999,39.900002,39.599998,39.599998,29.629734,400
2001-04-27,39.720001,39.939999,39.630001,39.630001,29.652166,5000
2001-04-30,39.990002,40.000000,39.630001,39.709999,29.712030,1000
2001-05-01,39.639999,41.880001,39.639999,39.869999,29.831757,9200
2001-05-02,40.419998,40.419998,39.759998,39.869999,29.831757,2000
2001-05-03,40.500000,41.070000,40.500000,40.500000,30.303122,6200
2001-05-04,40.250000,41.000000,40.250000,40.500000,30.303122,500
2001-05-07,40.509998,40.750000,40.500000,40.750000,30.490181,2700
2001-05-08,40.509998,40.930000,40.509998,40.930000,30.624857,700
2001-05-09,40.549999,40.750000,40.500000,40.500000,30.303122,3400
2001-05-10,40.549999,40.549999,40.349998,40.490002,30.295637,5400
2001-05-11,40.500000,40.549999,40.500000,40.500000,30.303122,2100
2001-05-14,40.430000,40.700001,40.430000,40.650002,30.415367,62300
2001-05-15,40.599998,40.650002,40.540001,40.540001,30.333052,12500
2001-05-16,40.560001,40.630001,40.560001,40.599998,30.566452,10500
2001-05-17,40.349998,40.599998,40.349998,40.580002,30.551394,1200
2001-05-18,40.349998,40.349998,40.349998,40.349998,30.378233,300
2001-05-21,40.470001,40.900002,40.310001,40.419998,30.430925,13700
2001-05-22,40.419998,40.580002,40.400002,40.529999,30.513737,146600
2001-05-23,40.490002,40.650002,40.490002,40.599998,30.566452,23300
2001-05-24,40.500000,40.639999,40.500000,40.639999,30.596552,4500
2001-05-25,40.500000,40.639999,40.500000,40.540001,30.521273,5600
2001-05-29,40.750000,40.750000,40.419998,40.599998,30.566452,1900
2001-05-30,40.750000,40.750000,40.320000,40.320000,30.355646,800
2001-05-31,40.750000,40.750000,40.310001,40.310001,30.348131,2300
2001-06-01,40.599998,40.599998,40.099998,40.450001,30.453527,7400
2001-06-04,40.500000,40.689999,40.500000,40.689999,30.634203,2300
2001-06-05,40.549999,40.750000,40.549999,40.549999,30.528805,3800
2001-06-06,40.549999,40.990002,40.549999,40.799999,30.717028,1200
2001-06-07,41.000000,41.000000,40.680000,40.680000,30.626667,5300
2001-06-08,40.740002,40.740002,40.400002,40.400002,30.415869,1600
2001-06-11,40.400002,40.720001,40.330002,40.330002,30.363173,1300
2001-06-12,40.509998,40.509998,40.400002,40.400002,30.415869,1000
2001-06-13,40.330002,40.599998,40.299999,40.310001,30.348131,2700
2001-06-14,40.720001,40.720001,40.230000,40.230000,30.287893,2700
